org,sector,ein,tax_year,total_revenue,total_expenses,contributions,program_revenue,investment_income,salaries_wages,officer_compensation,total_assets_end,total_liabilities_end,net_assets_end,operating_margin,reserve_months,compensation_ratio,contribution_share,program_revenue_share,investment_income_share,leverage,largest_revenue_category_share,revenue_growth_yoy
Candid,Philanthropy Infrastructure,131837418,2011,21653463,21887746,7884538,13249329,419328,10275854,817569,26758155,7946740,18811415,-0.010819655036240624,10.313395449673074,0.5068325902539257,0.3641236507989507,0.6118803722065149,0.019365401275537313,0.2969838540811203,0.6118803722065149,
Candid,Philanthropy Infrastructure,131837418,2012,28482568,22570784,14326112,13612122,379577,9769747,1172437,33493379,7777701,25715678,0.20755797019426056,13.672016709743001,0.48479414804554416,0.5029782426921617,0.47791062940673046,0.013326642457239109,0.23221607470539177,0.5029782426921617,0.3153816551190911
Candid,Philanthropy Infrastructure,131837418,2013,30244244,25008492,15907716,13629131,424982,10508326,998274,41457861,8058413,33399448,0.17311565136162768,16.0262912293952,0.46010771061285904,0.5259749921340404,0.4506355325000023,0.01405166550038414,0.19437599542340112,0.5259749921340404,0.061851024107095975
Candid,Philanthropy Infrastructure,131837418,2014,23529334,25137952,9061221,13669697,490597,10770099,1077068,41125518,8966106,32159412,-0.06836649095125259,15.351805270373656,0.47128608567635105,0.3851031652659612,0.5809640425861607,0.020850441410708864,0.21801806848973915,0.5809640425861607,-0.22202274257541366
Candid,Philanthropy Infrastructure,131837418,2015,25393174,27479009,10017916,14551976,503062,11091404,1270680,45160090,15942214,29217876,-0.08214156292553267,12.759357952100821,0.44987371997294373,0.3945121629930941,0.5730664469120718,0.01981091453947427,0.35301554979186267,0.5730664469120718,0.07921346180049116
Candid,Philanthropy Infrastructure,131837418,2016,24111780,27200603,8687596,14309956,384989,11501211,1797520,40997926,14566158,26431768,-0.1281043124978745,11.660815607653992,0.488913095051606,0.3603050459153161,0.5934840148674216,0.0159668427631639,0.3552901188221082,0.5934840148674216,-0.05046214388165893
Candid,Philanthropy Infrastructure,131837418,2017,24457151,24715888,8611116,14470873,385684,10185251,1267176,42655205,15040768,27614437,-0.010579196244076017,13.407296715375956,0.4633629590812193,0.3520899061382906,0.5916826943579815,0.015769784469172227,0.35261272334759614,0.5916826943579815,0.01432374548871973
Candid,Philanthropy Infrastructure,131837418,2018,29706800,25781921,13834354,15511812,257743,12197687,1137169,45546348,14772793,30773555,0.1321205582560222,14.323318266315377,0.5172173167391212,0.4656965408593319,0.5221636796962311,0.008676229011539445,0.32434637789181253,0.5221636796962311,0.21464679185241153
Candid,Philanthropy Infrastructure,131837418,2019,49123046,37620536,21423009,26928606,422717,16983418,1900888,66130860,20659093,45471767,0.23415710011142224,14.50434422305945,0.5019680208703033,0.4361091329719252,0.5481868123568722,0.008605268492511642,0.31239716223257946,0.5481868123568722,0.6535960116875597
Candid,Philanthropy Infrastructure,131837418,2020,42877589,39439944,12331121,29183548,48030,18255714,2011161,69236438,18796126,50440312,0.08017346777590503,15.346972703612359,0.5138667286140163,0.2875889546867945,0.6806247431496206,0.0011201655951317599,0.27147736860755317,0.6806247431496206,-0.12713904182570435
Candid,Philanthropy Infrastructure,131837418,2021,55202801,43747758,23672424,31034819,1873,19668063,2667941,88006038,21428675,66577363,0.2075083653816769,18.26215542291333,0.5105633984717571,0.42882650103207626,0.56219645448788,3.392943774718968e-05,0.24349096365410747,0.56219645448788,0.2874511437665024
Candid,Philanthropy Infrastructure,131837418,2022,51839195,39889670,7177743,32245979,1068678,17556808,1756676,90918496,31457207,59461289,0.23051139200753407,17.887725518912543,0.48417256898841227,0.13846169872043732,0.6220385752517955,0.020615250680493784,0.34599348189833673,0.6220385752517955,-0.060931799457060176
Candid,Philanthropy Infrastructure,131837418,2023,43212468,36022947,8769879,33025623,1539159,15119026,1377591,100177752,30594864,69582888,0.1663760792371313,23.179520986997538,0.4579474577690715,0.20294788531865388,0.7642614395456423,0.0356184006893566,0.30540577512659695,0.7642614395456423,-0.16641321301382095
Center For Public Integrity,Journalism,541512177,2011,5371676,10076320,5128583,42160,65183,4472248,423765,6220214,1983639,4236575,-0.875824230649801,5.045383632119663,0.48589296489194467,0.9547454090678589,0.007848574634806716,0.012134574013771493,0.318902050636843,0.9547454090678589,
Center For Public Integrity,Journalism,541512177,2012,8998063,7633950,8858926,36128,58502,3473239,206055,6437155,720100,5717055,0.15160073895904042,8.98678403709744,0.4819646447776053,0.9845370053532633,0.004015086358030611,0.0065016215156528685,0.11186618933364195,0.9845370053532633,0.6750941419400573
Center For Public Integrity,Journalism,541512177,2013,7634713,6802136,7464706,52049,57997,3768647,232044,7515156,758969,6756187,0.10905151247990592,11.918938992104835,0.5881521627912173,0.9777323653161553,0.006817414092710492,0.007596487254989153,0.10099178247264594,0.9777323653161553,-0.15151594293127313
Center For Public Integrity,Journalism,541512177,2014,9616998,8413507,9313650,39235,207757,4529685,237944,8650411,863793,7786618,0.12514206616243448,11.105882006159856,0.5666636992160344,0.9684571006461684,0.004079755449673588,0.021603103172112545,0.09985571783814665,0.9684571006461684,0.25964106312837165
Center For Public Integrity,Journalism,541512177,2015,9053974,9653457,8762615,35829,193851,4274943,427565,8424711,1529452,6895259,-0.06621214065779292,8.571344752455001,0.48713201913055604,0.9678197662153658,0.003957267825156114,0.021410598263259868,0.18154355680568746,0.9678197662153658,-0.05854467267228303
Center For Public Integrity,Journalism,541512177,2016,5076178,8019182,4908712,38624,52361,3726075,532243,6041303,1985717,4055586,-0.5797676913614929,6.068827468936358,0.5310165051747173,0.9670094311113597,0.00760887423569465,0.01031504411389829,0.32869018488230106,0.9670094311113597,-0.4393425472615672
Center For Public Integrity,Journalism,541512177,2017,9994978,5208118,9860234,14279,48786,2748138,217464,9530547,444967,9085580,0.47892651689678556,20.934041817024884,0.569419126064348,0.9865188297563036,0.0014286174516842359,0.004881051263944753,0.04668850591681674,0.9865188297563036,0.9689967530689427
Center For Public Integrity,Journalism,541512177,2018,4227953,5954150,4046538,10000,82050,3075621,424796,7992294,893336,7098958,-0.40828197475232103,14.30724721412796,0.5878953335068817,0.957091528690125,0.0023652107769409924,0.019406554424800843,0.1117746669479376,0.957091528690125,-0.576992265515742
Center For Public Integrity,Journalism,541512177,2019,5315614,6416867,5021716,42700,125742,3276444,433027,7320645,1149825,6170820,-0.2071732447088897,11.53987452132014,0.5780813284738486,0.9447104323225878,0.008032938433829092,0.02365521649991892,0.15706607819392962,0.9447104323225878,0.2572547518858417
Center For Public Integrity,Journalism,541512177,2020,7303703,5832747,7136190,35968,101487,3049396,301867,9092782,1601243,7491539,0.2013986603781671,15.41271514091045,0.574559980057424,0.9770646478916243,0.0049246252209324505,0.013895280243460064,0.17610044978533523,0.9770646478916243,0.37400928660357957
Center For Public Integrity,Journalism,541512177,2021,5133204,5489480,4993910,18596,113614,2888275,136302,8532975,1523208,7009767,-0.06940616425920342,15.32334647361863,0.5509769595662977,0.9728641215116329,0.0036226886755328642,0.02213315504312706,0.17850843345960818,0.9728641215116329,-0.29717788360233155
Center For Public Integrity,Journalism,541512177,2022,5025753,5593383,5181020,103931,83711,3109989,317952,7853147,1561247,6291900,-0.11294426924681734,13.49859289092129,0.6128564770193637,1.0308942759423314,0.020679687203091754,0.016656409497243497,0.19880526876677593,1.0308942759423314,-0.020932540378290065
Center For Public Integrity,Journalism,541512177,2023,3834099,6141454,3522492,4073,144780,3370212,334973,5223841,1139532,4084309,-0.6017984929444962,7.980473028048407,0.6033074578104795,0.9187274506996298,0.0010623095543437976,0.0377611532722551,0.2181406363631665,0.9187274506996298,-0.23710954358481207
